Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
12.03,-8888,0,-8888,-8888,0
12.05,-8888,0,-8888,-8888,0
12.07,-8888,0,-8888,-8888,0
12.1,-8888,0,-8888,-8888,0
12.13,-8888,0,-8888,-8888,0
12.15,-8888,0,-8888,-8888,0
12.18,-8888,0,-8888,-8888,0
12.2,-8888,0,-8888,-8888,0
12.22,-8888,0,-8888,-8888,0
12.25,-8888,0,-8888,-8888,0
12.28,-8888,0,-8888,-8888,0
12.3,-8888,0,-8888,-8888,0
12.32,1.84,1.82,-8888,199.34,0
12.35,3.56,3.48,-8888,134.99,0
12.38,4.96,5.04,-8888,21.09,0
12.4,6.57,6.93,-8888,9.61,0
12.43,9.25,9.53,185.27,17.85,0.01
12.45,12.77,7.79,173.61,6.67,0.01
12.47,1.35,6.45,212.95,13.24,0.02
12.5,5.23,4.5,187.16,7.16,0.02
12.53,6.9,5.71,176.67,5.49,0.03
12.55,4.99,4.99,163.91,-0.98,0.03
12.57,3.08,4.05,135.51,1.37,0.04
12.6,4.07,3.59,77.88,3.04,0.05
12.63,3.6,4.39,45.92,6.67,0.05
12.65,5.49,4.92,139.73,2.06,0.06
12.68,5.65,6.46,89.65,1.57,0.06
12.7,8.25,5.85,66.01,1.18,0.07
12.72,3.64,5.1,182.48,23.54,0.07
12.75,3.4,4.52,136.11,0.88,0.08
12.78,6.5,5.76,125.25,0.59,0.09
12.8,7.39,7.32,177.89,1.47,0.09
12.82,8.08,10.08,77.76,1.18,0.1
12.85,14.77,13.2,128.38,2.55,0.1
12.88,16.74,15.61,234.16,24.52,0.11
12.9,15.31,14.92,62.42,15.89,0.11
12.93,12.69,10.38,115.15,-1.57,0.12
12.95,3.12,6.1,49.41,5.1,0.13
12.97,2.49,3.53,114.84,0.1,0.13
13,4.98,4.5,110.56,1.28,0.14
13.03,6.03,5.74,206.47,8.73,0.14
13.05,6.21,6.42,266.49,8.44,0.15
13.07,7.03,7.3,401,1.86,0.15
13.1,8.66,8.43,283.73,4.12,0.16
13.13,9.59,8.63,132.04,2.16,0.16
13.15,7.64,9.01,160.79,-2.55,0.17
13.18,9.78,8.71,65.18,15.7,0.18
13.2,8.69,8.9,23.29,9.12,0.18
13.22,8.22,8.17,78.44,17.17,0.19
13.25,7.57,7.94,66.55,1.77,0.19
13.28,8.03,8.03,97.5,1.77,0.2
13.3,8.49,7.04,128.44,4.22,0.2
13.32,4.59,6.24,135.93,0.39,0.21
13.35,5.64,5.65,155.1,3.53,0.22
13.38,6.71,6.49,184.97,6.87,0.22
13.4,7.11,7.07,126.18,3.43,0.23
13.43,7.4,8.08,104.69,3.43,0.23
13.45,9.75,8.91,182.1,2.75,0.24
13.47,9.57,8.9,126.18,4.91,0.24
13.5,7.39,7.31,22.76,0.78,0.25
13.53,4.98,6.94,15.44,-2.16,0.26
13.55,8.44,8.02,38.45,0.39,0.26
13.57,10.64,12.27,41.22,0.2,0.27
13.6,17.73,11.48,110.36,-1.08,0.27
13.63,6.07,10.94,80.11,-0.69,0.28
13.65,9.01,9.08,43.12,5.1,0.28
13.68,12.16,11.12,88.91,3.24,0.29
13.7,12.18,9.69,126.56,2.26,0.3
13.72,4.72,7.08,126.27,-0.1,0.3
13.75,4.33,6.57,103.55,1.57,0.31
13.78,10.67,8.33,232.45,-0.2,0.31
13.8,9.99,8.59,235.77,6.18,0.32
13.82,5.12,6.98,212.11,-3.73,0.32
13.85,5.84,5.1,210.15,2.06,0.33
13.88,4.34,4.34,147.48,-5,0.34
13.9,2.83,5.45,144.16,4.91,0.34
13.93,9.18,4.62,65.52,2.84,0.35
13.95,1.83,4.74,80.04,3.63,0.35
13.97,3.22,4.08,52.39,0,0.36
14,7.18,6.8,24.73,4.32,0.36
14.03,9.98,7.88,35.86,-0.39,0.37
14.05,6.48,10.42,157.85,-0.2,0.38
14.07,14.81,14.65,283.32,3.14,0.38
14.1,22.67,19.42,403.19,15.01,0.39
14.13,20.78,20.67,463.94,12.46,0.39
14.15,18.56,14.09,337.63,2.26,0.4
14.18,2.92,9.75,241.99,17.07,0.4
14.2,7.75,5.77,258.27,1.57,0.41
14.22,6.63,7.6,477.33,3.53,0.41
14.25,8.41,6.77,616.88,9.42,0.42
14.28,5.26,6.1,441.56,3.34,0.43
14.3,4.63,4.63,426.33,-13.93,0.43
14.32,3.99,4.35,388.1,3.04,0.44
14.35,4.43,4.26,201.36,2.84,0.44
14.38,4.37,4.64,46.74,-28.15,0.45
14.4,5.13,4.78,46.26,19.62,0.45
14.43,4.85,5,120.32,1.96,0.46
14.45,5.01,4.77,154.77,1.37,0.47
14.47,4.45,4.96,109.73,4.61,0.47
14.5,5.42,6.25,96.07,1.08,0.48
14.53,8.88,6.9,65.44,2.26,0.48
14.55,6.4,6.94,70.94,2.65,0.49
14.57,5.52,7.16,135.14,2.35,0.49
14.6,9.55,9.04,221.04,1.18,0.5
14.63,12.04,9.2,151.16,14.91,0.51
14.65,6.02,8.98,183.07,2.84,0.51
14.68,8.89,8.5,165.27,7.65,0.52
14.7,10.57,9.81,207.56,2.84,0.52
14.72,9.98,10.65,254.12,1.18,0.53
14.75,11.39,11.12,100.35,3.92,0.53
14.78,11.98,11.43,96.25,3.92,0.54
14.8,10.9,10.35,115.9,-3.63,0.55
14.82,8.16,8.18,154.27,4.71,0.55
14.85,5.47,6.7,201.47,0.88,0.56
14.88,6.48,6.21,194.97,6.38,0.56
14.9,6.68,6.59,129.58,11.97,0.57
14.93,6.6,6.47,145.11,11.67,0.57
14.95,6.13,5.72,183.52,8.34,0.58
14.97,4.42,4.43,242.03,3.43,0.59
15,2.75,3.64,198.43,6.47,0.59
15.03,3.74,3.2,113.56,6.28,0.6
15.05,3.09,3.47,116.63,5.69,0.6
15.07,3.56,3.32,143.14,10.4,0.61
15.1,3.29,3.12,130.67,8.44,0.61
15.13,2.5,3.09,127.65,9.03,0.62
15.15,3.47,3.24,116.97,13.83,0.63
15.18,3.73,3.42,100.78,14.03,0.63
15.2,3.06,3.2,83.25,7.85,0.64
15.22,2.82,2.96,66.76,10.79,0.64
15.25,3,3.11,66.5,4.61,0.65
15.28,3.52,3.53,142.27,-1.08,0.65
15.3,4.07,3.49,86.81,6.87,0.66
15.32,2.88,3.29,70.94,-0.49,0.66
15.35,2.92,3.11,49.23,-10.01,0.67
15.38,3.52,3.13,79.62,2.75,0.68
15.4,2.97,3.67,79.07,-7.06,0.68
15.43,4.54,3.98,79.65,-1.18,0.69
15.45,4.45,4.6,59.86,-2.26,0.69
15.47,4.82,4.49,57.53,-1.96,0.7
15.5,4.21,4.58,78.81,-4.12,0.7
